Title,Main Genre
Mystery,"Crime, Thriller & Mystery"
Thrillers and Suspense,"Crime, Thriller & Mystery"
Aeronautical Engineering,Engineering
Aerospace Engineering,Engineering
Automobile Engineering,Engineering
Bioengineering,Engineering
Biotechnology,Engineering
Chemical Engineering,Engineering
Civil Engineering,Engineering
Electrical & Electronic Engineering,Engineering
Environmental Engineering,Engineering
Industrial Engineering,Engineering
Marine Engineering,Engineering
Mechanical Engineering,Engineering
Mechatronics Engineering,Engineering
Metallurgical & Materials Engineering,Engineering
Mining,Engineering
Non-Core Engineering,Engineering
Nuclear Engineering,Engineering
"Production, Operation & Management",Engineering
"Arts, Design and Education Exams",Exam Preparation
Banking & Insurance,Exam Preparation
Defence,Exam Preparation
Engineering Entrance,Exam Preparation
Exams by UPSC,Exam Preparation
Finance & Accounting,Exam Preparation
Government Exams,Exam Preparation
IGNOU Entrance Exam,Exam Preparation
International Entrance Exams,Exam Preparation
Interview Preparation,Exam Preparation
Law Entrance Exams,Exam Preparation
Management Entrance,Exam Preparation
Medical Entrance,Exam Preparation
Polytechnics & ITI,Exam Preparation
Professional Certification Exams,Exam Preparation
Fantasy,"Fantasy, Horror & Science Fiction"
Horror,"Fantasy, Horror & Science Fiction"
Science Fiction,"Fantasy, Horror & Science Fiction"
Family & Relationships,"Health, Family & Personal Development"
Healthy Living & Wellness,"Health, Family & Personal Development"
Personal Transformation,"Health, Family & Personal Development"
Self-Help,"Health, Family & Personal Development"
Addiction & Recovery,"Health, Fitness & Nutrition"
Business & Finance,Higher Education Textbooks
Communication & Journalism,Higher Education Textbooks
Computer Science,Higher Education Textbooks
Engineering Textbooks,Higher Education Textbooks
Humanities,Higher Education Textbooks
Law,Higher Education Textbooks
Medicine & Health Sciences,Higher Education Textbooks
Science & Mathematics,Higher Education Textbooks
Social Sciences,Higher Education Textbooks
Teaching & Education,Higher Education Textbooks
Ancient,History
Biographies & Autobiographies,History
Indian History,History
Military,History
Region & Countries,History
World,History
Dictionaries,"Language, Linguistics & Writing"
Grammar,"Language, Linguistics & Writing"
Journalism,"Language, Linguistics & Writing"
Language Learning & Teaching,"Language, Linguistics & Writing"
Linguistics,"Language, Linguistics & Writing"
Public Speaking,"Language, Linguistics & Writing"
Writing Guides,"Language, Linguistics & Writing"
Bar Exams,Law
Business Law,Law
Constitutional Law,Law
Criminal Law,Law
Legal Reference,Law
Tax Law,Law
Action & Adventure,Literature & Fiction
Anthologies,Literature & Fiction
Classic Fiction,Literature & Fiction
Contemporary Fiction,Literature & Fiction
"Crime, Thriller & Mystery",Literature & Fiction
Disability Fiction,Literature & Fiction
Essays,Literature & Fiction
"Fantasy, Horror & Science Fiction",Literature & Fiction
Historical Fiction,Literature & Fiction
Humour,Literature & Fiction
Indian Writing,Literature & Fiction
"Literary Theory, History & Criticism",Literature & Fiction
"Myths, Legends & Sagas",Literature & Fiction
Plays,Literature & Fiction
Poetry,Literature & Fiction
Religious & Spiritual Fiction,Literature & Fiction
Romance,Literature & Fiction
Short Stories,Literature & Fiction
Travel Writing,Literature & Fiction
Administration & Policy,Medicine & Health Sciences
Allied Health Services,Medicine & Health Sciences
Alternative Medicine,Medicine & Health Sciences
Dentistry,Medicine & Health Sciences
Medicine,Medicine & Health Sciences
Nursing,Medicine & Health Sciences
Reference,Medicine & Health Sciences
Research,Medicine & Health Sciences
Test Preparation & Review,Medicine & Health Sciences
Veterinary Medicine,Medicine & Health Sciences
Freedom & Security,Politics
International Relations & Globalization,Politics
Political Ideologies,Politics
Political Parties,Politics
Political Structure & Processes,Politics
Political Theory,Politics
Public Administration,Politics
Dictionaries & Thesauruses,Reference
Encyclopaedias & Reference Works,Reference
Etiquette,Reference
Library & Information Science,Reference
"Words, Language & Grammar",Reference
Baha'i,Religion
Buddhism,Religion
Christianity,Religion
Ethnical,Religion
Hinduism,Religion
Islam,Religion
Jainism,Religion
Judaism,Religion
New Age & Spirituality,Religion
Religious Studies,Religion
Shintoism,Religion
Sikhism,Religion
Action & Adventure,Romance
Adaptations,Romance
Alpha Male,Romance
Amish,Romance
Billionaires & Millionaires,Romance
Clean & Wholesome,Romance
Collections & Anthologies,Romance
Contemporary,Romance
Enemies to Lovers,Romance
Fantasy,Romance
Gothic,Romance
Historical,Romance
Holidays,Romance
Later in Life,Romance
Love Triangle,Romance
Mafia Romance,Romance
Multicultural & Interracial,Romance
New Adult & College,Romance
Paranormal,Romance
Polyamory,Romance
Romance in Uniform,Romance
Romantic Comedy,Romance
Romantic Suspense,Romance
Science Fiction,Romance
Small Town Romance,Romance
Sports,Romance
Time Travel,Romance
Western & Frontier,Romance
Workplace Romance,Romance
CBSE,School Books
CISCE,School Books
International School Boards,School Books
Olympiads & Scholarship Exams,School Books
Open Schooling,School Books
School Atlases,School Books
School Bundles,School Books
State Education Boards,School Books
Agriculture,Science & Mathematics
Astronomy & Astrophysics,Science & Mathematics
Biology & Life Sciences,Science & Mathematics
Chemistry,Science & Mathematics
Earth Sciences,Science & Mathematics
Environmental Studies,Science & Mathematics
Mathematics,Science & Mathematics
Mechanics,Science & Mathematics
Physics,Science & Mathematics
Agriculture & Farming,"Sciences, Technology & Medicine"
Astronomy,"Sciences, Technology & Medicine"
Biology & Life Sciences,"Sciences, Technology & Medicine"
Chemistry,"Sciences, Technology & Medicine"
Earth Sciences,"Sciences, Technology & Medicine"
Engineering & Technology,"Sciences, Technology & Medicine"
Environment,"Sciences, Technology & Medicine"
Environmentalism,"Sciences, Technology & Medicine"
Geography,"Sciences, Technology & Medicine"
Mathematics,"Sciences, Technology & Medicine"
Medicine,"Sciences, Technology & Medicine"
Physics,"Sciences, Technology & Medicine"
Transportation & Automotive,"Sciences, Technology & Medicine"
Anthropology,Society & Social Sciences
Education,Society & Social Sciences
Ethnography,Society & Social Sciences
Religious Groups Studies,Society & Social Sciences
Social Welfare & Social Services,Society & Social Sciences
Society & Culture,Society & Social Sciences
Sociology,Society & Social Sciences
Active Outdoor Pursuits,Sports
Air Sports,Sports
American Football,Sports
Athletics & Gymnastics,Sports
Badminton,Sports
Baseball,Sports
Basketball,Sports
Bodybuilding & Weightlifting,Sports
"Bowls, Bowling & Petanque",Sports
Cheerleading,Sports
Combat Sports & Self-Defence,Sports
Cricket,Sports
Cycling,Sports
Equestrian & Animal Sports,Sports
Field Sports,Sports
Golf,Sports
Hockey,Sports
Hurling,Sports
Juggling,Sports
Lacrosse,Sports
Marathon & Running,Sports
Motor Sports,Sports
Netball,Sports
"Pool, Billiards & Snooker",Sports
Rugby,Sports
Skateboarding,Sports
Soccer,Sports
Softball,Sports
Sporting Events & Organisations,Sports
Squash & Racquetball,Sports
Table Tennis,Sports
Tennis,Sports
Training & Coaching,Sports
Triathlon,Sports
Volleyball,Sports
Water Sports,Sports
Winter Sports,Sports
Arts & Photography,Teen & Young Adult
Biographies,Teen & Young Adult
Comics & Graphic Novels,Teen & Young Adult
Computers,Teen & Young Adult
Education & Reference,Teen & Young Adult
History,Teen & Young Adult
Hobbies & Games,Teen & Young Adult
Literature & Fiction,Teen & Young Adult
Mysteries & Thrillers,Teen & Young Adult
Personal Health,Teen & Young Adult
Religion & Spirituality,Teen & Young Adult
Romance,Teen & Young Adult
Science & Technology,Teen & Young Adult
Science Fiction & Fantasy,Teen & Young Adult
Social & Family Issues,Teen & Young Adult
Social Sciences,Teen & Young Adult
Sports & Outdoors,Teen & Young Adult
Travel,Teen & Young Adult
Reference,Textbooks & Study Guides
Study Guides & Workbooks,Textbooks & Study Guides
"Food, Lodging & Transportation",Travel
Illustrated Books,Travel
Specialty Travel,Travel
Transport,Travel
Travel & Holiday Guides,Travel
Travel Writing,Travel
